Rank,Policy Name,Count,Percentage

1,"คืนครูให้นักเรียน",111,73.5%
2,"ยกเลิกเกณฑ์ทหาร",97,64.2%
3,"ทักษะอนาคต (Wellness/Tech)",94,62.3%
4,"ปฏิรูปองค์กรอิสระ",92,60.9%
5,"บัตรใบเดียวจบ (Smart Card)",84,55.6%
6,"รัฐบาลดิจิทัล (ลดดุลพินิจ)",83,55.0%
7,"ทักษะการเงิน (Financial Lit)",83,55.0%
8,"แพลตฟอร์มส่องรัฐ",77,51.0%
9,"คืนที่ทำกิน / ปลดล็อกที่ดินทับซ้อน",75,49.7%
10,"สวัสดิการถ้วนหน้า",75,49.7%
11,"ลดค่าไฟ / รื้อโครงสร้างพลังงาน",74,49.0%
12,"กระจายอำนาจ / เลือกตั้งผู้ว่าฯ",73,48.3%
13,"ปราบยาเสพติดเด็ดขาด",72,47.7%
14,"แปรรูปสินค้าเกษตร",71,47.0%
15,"ประชาชนเข้าชื่อถอดถอน",70,46.4%
16,"รักษาฟรีทั่วไทย (30 บาทพลัส)",67,44.4%
17,"กองทุนคนตัวเล็ก / พักหนี้",65,43.0%
18,"หวยใบเสร็จ",64,42.4%
19,"อินเทอร์เน็ตฟรี/ดาวเทียม",63,41.7%
20,"ค่าแรง 450-600 บาท",60,39.7%
21,"ศูนย์ดูแลผู้สูงอายุ",59,39.1%
22,"ประกันรายได้ / ประกันกำไร",50,33.1%
23,"เกษตรสีเขียว / น้ำบาดาล",49,32.5%
24,"AI จับโกง",47,31.1%
25,"เปลี่ยน ส.ป.ก. เป็นโฉนด",44,29.1%
26,"เงินอุดหนุนเด็ก/คนท้อง",44,29.1%
27,"สันติภาพปาตานี",42,27.8%
28,"ยึดทรัพย์คนโกง",39,25.8%
29,"Offset อาวุธ",38,25.2%
30,"เรียนฟรี ป.ตรี / จบไว",38,25.2%
31,"ดิจิทัลวอลเล็ต / รัฐร่วมจ่าย",37,24.5%
32,"ติดโซล่าเซลล์ฟรี",33,21.9%
33,"บำนาญ 3,000 บาท",33,21.9%
34,"ลดภาษีสินค้าในประเทศ",33,21.9%
35,"ธนู 4 ดอก",32,21.2%
36,"รัฐรวมซื้อ (Collective Buying)",31,20.5%
37,"แก้หนี้คนรุ่นใหม่ (กยศ.)",27,17.9%
38,"พักหนี้เกษตรกร",24,15.9%
39,"ยกเลิก MOU44 / สร้างรั้ว",19,12.6%
40,"Single Command",18,11.9%
41,"บัตรประชารัฐ Plus",17,11.3%
42,"สร้างคนดีมีวินัย",17,11.3%
43,"โฉนดต้นไม้",16,10.6%
44,"ล้างหนี้ กยศ. / น้ำมัน 20 บาท",15,9.9%
45,"ปิดประเทศเมื่อมีโรคระบาด",15,9.9%
46,"ประหารชีวิตคนโกง",14,9.3%
47,"ปกป้องสถาบันฯ",12,7.9%
48,"อัดฉีดงบ 5 แสนล้าน",12,7.9%